news_analysis_id,title,summary,market,sector,impact_score,sentiment,link,urlToImage,content,author,published_at,source_system,summary_short,business_bites_news_id,alternative_sources,thumbnail_url,rank,slno
1127,China blames Trump and US for escalating trade war - Financial Times,"China blames Trump and US for escalating trade war  Financial TimesChina warns US of countermeasures if Trump doesn’t walk back 100% tariff threat  CNNXi’s Roar Back to US Export Curbs Exposes Rocky Path to Deal  Bloomberg.comBeijing blames US for raising trade tensions, defends rare earth curbs  ReutersCrypto bloodbath wipes out billions, but signs of stabiliza",US,Technology,8,neutral,https://www.ft.com/content/ce034c1b-97bd-4a79-a4e0-c62cf91aa233,https://images.ft.com/v3/image/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4c0b47ff-541e-4e36-bb7d-304649d7c128.jpg?source=next-barrier-page,"China blames Trump and US for escalating trade war  Financial TimesChina warns US of countermeasures if Trump doesn’t walk back 100% tariff threat  CNNXi’s Roar Back to US Export Curbs Exposes Rocky Path to Deal  Bloomberg.comBeijing blames US for raising trade tensions, defends rare earth curbs  ReutersCrypto bloodbath wipes out billions, but signs of stabiliza",,2025-10-12 03:47:23+00:00,ft.com,,544,,https://images.ft.com/v3/image/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4c0b47ff-541e-4e36-bb7d-304649d7c128.jpg?source=next-barrier-page,1,11
1043,President Trump says he has 'identified funds' to pay US troops during shutdown,"Trump orders Defense Dept. to issue military paychecks during shutdown  The Washington PostTrump directs Hegseth to pay troops during ongoing government shutdown standoff as he rails against Schumer  Fox NewsPentagon will pay military troops, Trump says, shifting $8B  PoliticoGovernment shutdown continues as Trump directs Pentagon to use ""all available funds"" to pay troops  CBS NewsTrump says administration has ‘identified funds’ to ",US,Technology,6,neutral,https://www.usatoday.com/story/news/politics/2025/10/11/president-trump-funds-military-pay-shutdown/86646897007/,"https://www.usatoday.com/gcdn/authoring/authoring-images/2025/10/09/USAT/86612119007-20251009-t-173247-z-8000957-rc-2-h-8-har-4-x-5-y-rtrmadp-3-usatrump.JPG?crop=5087,2863,x0,y264&width=3200&height=1801&format=pjpg&auto=webp","Trump orders Defense Dept. to issue military paychecks during shutdown  The Washington PostTrump directs Hegseth to pay troops during ongoing government shutdown standoff as he rails against Schumer  Fox NewsPentagon will pay military troops, Trump says, shifting $8B  PoliticoGovernment shutdown continues as Trump directs Pentagon to use ""all available funds"" to pay troops  CBS NewsTrump says administration has ‘identified funds’ to ",,2025-10-11 00:00:00+00:00,usatoday.com,,536,,"https://www.usatoday.com/gcdn/authoring/authoring-images/2025/10/09/USAT/86612119007-20251009-t-173247-z-8000957-rc-2-h-8-har-4-x-5-y-rtrmadp-3-usatrump.JPG?crop=5087,2863,x0,y264&width=3200&height=1801&format=pjpg&auto=webp",1,12
1064,Appeals court upholds ruling blocking Trump admin. from deploying National Guard in Illinois,"Appeals court bars Trump from deploying National Guard in Illinois  The Washington PostTrump cannot deploy National Guard to Illinois, appeals court rules  BBCAppeals Court Allows Federalized National Guard, But Leaves Block on Chicago Deployment in Place  The New York TimesAppeals court upholds ruling blocking Trump admin. from deploying National Guard in Illinois; Broadview ICE facility protest held  ABC7 ChicagoCircuit Court walks back judge’s block on Trump’s National Guard cal",US,Financial Services,6.8,neutral,https://www.msn.com/en-us/news/us/appeals-court-upholds-ruling-blocking-trump-admin-from-deploying-national-guard-in-illinois/ar-AA1OhslX,,"Appeals court bars Trump from deploying National Guard in Illinois  The Washington PostTrump cannot deploy National Guard to Illinois, appeals court rules  BBCAppeals Court Allows Federalized National Guard, But Leaves Block on Chicago Deployment in Place  The New York TimesAppeals court upholds ruling blocking Trump admin. from deploying National Guard in Illinois; Broadview ICE facility protest held  ABC7 ChicagoCircuit Court walks back judge’s block on Trump’s National Guard cal",,2025-10-12 03:16:00+00:00,msn.com,,542,,,1,13
1061,Helicopter crashes into palm trees after spinning out of ...,Helicopter spins out of control into palm trees at popular California beach  The Guardian5 people injured after helicopter crashes in Huntington Beach  ABC7 Los Angeles5 hospitalized after helicopter crash in Huntington Beach  KTLA5 hospitalized after helicopter crashes in busy oceanfront area of Huntington Beach  CBS NewsDramatic footage of helicopter falling from the sky in Huntington Beach — and social me,US,Technology,7.5,neutral,https://news.az/news/helicopter-crashes-into-palm-trees-after-spinning-out-of-control-at-a-popular-california-beach-video,https://news.az/photos/2025/10/aasa-1760250333.jpg,Helicopter spins out of control into palm trees at popular California beach  The Guardian5 people injured after helicopter crashes in Huntington Beach  ABC7 Los Angeles5 hospitalized after helicopter crash in Huntington Beach  KTLA5 hospitalized after helicopter crashes in busy oceanfront area of Huntington Beach  CBS NewsDramatic footage of helicopter falling from the sky in Huntington Beach — and social me,,2025-10-12 03:09:00+00:00,news.az,,541,,https://news.az/photos/2025/10/aasa-1760250333.jpg,1,14
1055,Trump Envoy Steve Witkoff Booed During Gaza Ceasefire Rally,"Trump Envoy Savagely Booed During Awkward Ceasefire Celebration  The Daily BeastLive updates: October 11, 2025 - Israel-Hamas war  CNNHostage families say they conveyed ‘deep appreciation’ during Witkoff, Kushner meeting  The Times of IsraelIsraelis praise Trump at huge rally ahead of expected hostage release by Hamas in Gaza  BBCWitkoff and Kushner Visit Gaza as Hamas Moves to Reassert Control",US,Technology,7.8,neutral,https://www.thedailybeast.com/trump-envoy-steve-witkoff-booed-during-gaza-ceasefire-rally/,https://www.thedailybeast.com/resizer/v2/M674OWLOJZGNBJPQL2ONEUAJXM.jpg?smart=true&auth=fa51879570ed1282efbc77dcc373e5a6ed3a66e58e7fbf3e89a3864768be68a8&width=1200&height=630,"Trump Envoy Savagely Booed During Awkward Ceasefire Celebration  The Daily BeastLive updates: October 11, 2025 - Israel-Hamas war  CNNHostage families say they conveyed ‘deep appreciation’ during Witkoff, Kushner meeting  The Times of IsraelIsraelis praise Trump at huge rally ahead of expected hostage release by Hamas in Gaza  BBCWitkoff and Kushner Visit Gaza as Hamas Moves to Reassert Control",,2025-10-12 02:35:00+00:00,thedailybeast.com,,539,,https://www.thedailybeast.com/resizer/v2/M674OWLOJZGNBJPQL2ONEUAJXM.jpg?smart=true&auth=fa51879570ed1282efbc77dcc373e5a6ed3a66e58e7fbf3e89a3864768be68a8&width=1200&height=630,1,15
1130,Trump's indictment of New York attorney general Letitia James stirs concerns for Black women leaders,"Trump's indictment of New York attorney general Letitia James stirs concerns for Black women leaders  AP NewsTrump’s Favored Prosecutor Is Moving at Full Steam  The Wall Street JournalAt the Center of Letitia James’s Indictment, a House in Norfolk, Virginia  The New York TimesNYC mayoral candidate Zohran Mamdani taunts Andrew Cuomo over his response to Letitia James indictment  CBS NewsWhy a jury may never hear the case against ",US,Technology,6,neutral,https://apnews.com/article/letitia-james-indictment-black-women-wealth-gap-f24491de06ce24ab7f0042cb91d0cc47,,"Trump's indictment of New York attorney general Letitia James stirs concerns for Black women leaders  AP NewsTrump’s Favored Prosecutor Is Moving at Full Steam  The Wall Street JournalAt the Center of Letitia James’s Indictment, a House in Norfolk, Virginia  The New York TimesNYC mayoral candidate Zohran Mamdani taunts Andrew Cuomo over his response to Letitia James indictment  CBS NewsWhy a jury may never hear the case against ",,2025-10-12 01:44:00+00:00,apnews.com,,545,,,1,16
1058,Tennessee military munitions plant explosion death toll reduced as ...,"Death toll from Tennessee munitions blast lowered to 16, sheriff says  ReutersNo survivors found after Tennessee explosives plant blast  BBCATF deploys elite team after deadly Tennessee explosion; search on for 18 missing  Fox NewsMassive blast that destroyed a Tennessee explosive plant leaves 16 dead, officials say  CNNClose-Knit Rural Communities Reel After Tennessee Plant Expl",US,Financial Services,6,neutral,https://www.abc.net.au/news/2025-10-12/tennessee-military-munitions-plant-explosion-death-toll-reduced/105882158,,"Death toll from Tennessee munitions blast lowered to 16, sheriff says  ReutersNo survivors found after Tennessee explosives plant blast  BBCATF deploys elite team after deadly Tennessee explosion; search on for 18 missing  Fox NewsMassive blast that destroyed a Tennessee explosive plant leaves 16 dead, officials say  CNNClose-Knit Rural Communities Reel After Tennessee Plant Expl",,2025-10-12 00:00:00+00:00,abc.net.au,,540,,,1,17
1046,HHS employees to be fired as White House enacts mass terminations it blames on shutdown,"HHS rehiring some people fired through reduction-in-force efforts  Politico‘The damage is beyond repair’: The CDC is facing another round of deep staff cuts  CNNTrump Administration Is Bringing Back Scores of C.D.C. Experts Fired in Error  The New York Times'CDC is over': RFK Jr. lays off over 1,000 employees in Friday night massacre  MSNBC NewsMore than 1,000 CDC staff receive layoff notices during government shut",US,Technology,6,neutral,https://www.statnews.com/2025/10/10/hhs-firings-shutdown-white-house/,https://www.statnews.com/wp-content/uploads/2025/10/GettyImages-2239419836-1024x576.jpg,"HHS rehiring some people fired through reduction-in-force efforts  Politico‘The damage is beyond repair’: The CDC is facing another round of deep staff cuts  CNNTrump Administration Is Bringing Back Scores of C.D.C. Experts Fired in Error  The New York Times'CDC is over': RFK Jr. lays off over 1,000 employees in Friday night massacre  MSNBC NewsMore than 1,000 CDC staff receive layoff notices during government shut",,2025-10-10 00:00:00+00:00,statnews.com,,537,,https://www.statnews.com/wp-content/uploads/2025/10/GettyImages-2239419836-1024x576.jpg,1,18
1052,Special education staff decimated after Trump administration ... - ABC News,"Special education staff decimated after Trump administration shutdown firings: Sources  ABC News - Breaking News, Latest News and VideosEducation Department wipes out special ed office in shutdown layoffs, union says  USA TodayLive updates: Government shutdown reaches tenth day, Congress still deadlocked on funding plan | CNN Politics  CNNTrump administration issues layoff notices to more than 4,000 workers during government shutdown  BBCOMB says ‘substantial’ federal employee layoffs have be",US,Financial Services,8.6,neutral,https://abcnews.go.com/Politics/special-education-staff-decimated-after-trump-administration-shutdown/story?id=126432474,https://s.abcnews.com/images/US/kindergarten-classroom-gty-jt-200605_hpMain_2_16x9_992.jpg?w=1600,"Special education staff decimated after Trump administration shutdown firings: Sources  ABC News - Breaking News, Latest News and VideosEducation Department wipes out special ed office in shutdown layoffs, union says  USA TodayLive updates: Government shutdown reaches tenth day, Congress still deadlocked on funding plan | CNN Politics  CNNTrump administration issues layoff notices to more than 4,000 workers during government shutdown  BBCOMB says ‘substantial’ federal employee layoffs have be",,2025-10-11 22:01:04+00:00,abcnews.go.com,,538,,https://s.abcnews.com/images/US/kindergarten-classroom-gty-jt-200605_hpMain_2_16x9_992.jpg?w=1600,1,19
1124,"Troops to Portland still on hold, multiplying protest frogs, fact-check on Trump claims: Get caught up - oregonlive.com","Among Portland Protests, It’s Frogs and Sharks and Bears, Oh My!  The New York TimesCostumed protesters in Portland defy description of the city as a 'war zone'  NBC NewsProtest frogs vs. MAGA media influencers: the info war over ICE in Portland and Chicago  CNNUnmasked: Inflatable frog tormenting ICE is non-binary ‘Antifa terrorist’  The TelegraphAn Interview With the Portland",US,Communication Services,6,neutral,https://www.oregonlive.com/portland/2025/10/troops-to-portland-still-on-hold-multiplying-protest-frogs-fact-check-on-trump-claims-get-caught-up.html,https://www.oregonlive.com/resizer/v2/BM3UUDZ2H5CRLE4UOJJGJ7K5HA.JPG?auth=253eb85df8cf809b6918b0f61eb3e8c8160c5285c44c4afa54d38969891ebaf1&width=1280&smart=true&quality=90,"Among Portland Protests, It’s Frogs and Sharks and Bears, Oh My!  The New York TimesCostumed protesters in Portland defy description of the city as a 'war zone'  NBC NewsProtest frogs vs. MAGA media influencers: the info war over ICE in Portland and Chicago  CNNUnmasked: Inflatable frog tormenting ICE is non-binary ‘Antifa terrorist’  The TelegraphAn Interview With the Portland",,2025-10-11 21:22:44+00:00,oregonlive.com,,543,,https://www.oregonlive.com/resizer/v2/BM3UUDZ2H5CRLE4UOJJGJ7K5HA.JPG?auth=253eb85df8cf809b6918b0f61eb3e8c8160c5285c44c4afa54d38969891ebaf1&width=1280&smart=true&quality=90,1,20
1136,"Woman charged in violent encounter punched, bit Jacksonville officer, sheriff says; 2 bystanders face ‘Halo Law’ charges",Bus,US,Financial Services,7.5,neutral,https://www.news4jax.com/news/local/2025/10/10/jso-to-annouce-arrests-involving-battery-on-a-law-enforcement-officer-violations-of-floridas-new-halo-law/,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/MF5QY6LYERA4XPCDGFJOFGUUY4.jpg?_a=DATAg1eAZAA0",,,2025-10-10 00:00:00+00:00,news4jax.com,,547,,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/MF5QY6LYERA4XPCDGFJOFGUUY4.jpg?_a=DATAg1eAZAA0",1,21
908,"At least 4 killed, 12 hurt in shooting after homecoming football game in small Mississippi town","Four killed in mass shooting after Mississippi football game  BBCMississippi homecoming turns deadly: 4 killed, 12 injured in downtown Leland shooting  Fox NewsFour people dead in shooting during Mississippi homecoming celebration  The GuardianMass shooting on Leland main street, mayor says  WLBTFour dead, four in critical condition ",US,Technology,6,neutral,https://nypost.com/2025/10/11/us-news/at-least-4-killed-12-hurt-in-mississippi-shooting-after-homecoming-football-game/,https://nypost.com/2025/10/11/us-news/at-least-4-killed-12-hurt-in-mississippi-shooting-after-homecoming-football-game/,"Four killed in mass shooting after Mississippi football game  BBCMississippi homecoming turns deadly: 4 killed, 12 injured in downtown Leland shooting  Fox NewsFour people dead in shooting during Mississippi homecoming celebration  The GuardianMass shooting on Leland main street, mayor says  WLBTFour dead, four in critical condition ",,2025-10-11 00:00:00+00:00,nypost.com,,488,,https://nypost.com/2025/10/11/us-news/at-least-4-killed-12-hurt-in-mississippi-shooting-after-homecoming-football-game/,1,22
899,Biden is receiving radiation and hormone therapy to treat his prostate cancer,"Joe Biden receiving radiation therapy for prostate cancer  The GuardianBiden starts radiation therapy for aggressive form of prostate cancer  CNNJoe Biden receiving radiation therapy for prostate cancer, spokesman says  BBCFormer US President Biden undergoing radiation therapy for cancer, spokesperson says  ReutersBiden undergoing radiation therapy as prostate cancer care e",US,Automotive,6,neutral,https://ktar.com/national-news/biden-is-receiving-radiation-and-hormone-therapy-to-treat-his-prostate-cancer/5760366/,https://ktar.com/national-news/biden-is-receiving-radiation-and-hormone-therapy-to-treat-his-prostate-cancer/5760366/,"Joe Biden receiving radiation therapy for prostate cancer  The GuardianBiden starts radiation therapy for aggressive form of prostate cancer  CNNJoe Biden receiving radiation therapy for prostate cancer, spokesman says  BBCFormer US President Biden undergoing radiation therapy for cancer, spokesperson says  ReutersBiden undergoing radiation therapy as prostate cancer care e",,2025-10-11 13:50:00+00:00,ktar.com,,487,,https://ktar.com/national-news/biden-is-receiving-radiation-and-hormone-therapy-to-treat-his-prostate-cancer/5760366/,1,23
905,"Cantor Fitzgerald Raises NVDA Price Target, Keeps Overweight Rating",Bus,US,Technology,6,neutral,https://www.msn.com/en-us/money/topstocks/cantor-fitzgerald-raises-nvda-price-target-keeps-overweight-rating/ar-AA1Ohv2t,,,,2025-10-11 13:35:24+00:00,msn.com,,498,,,1,24
992,Costumed protesters in Portland defy description of the city as a 'war zone',"Costumed protesters in Portland defy description of the city as a 'war zone'  NBC NewsProtest frogs vs. MAGA media influencers: the info war over ICE in Portland and Chicago  CNNPortland activists use humor to counter Trump's apocalyptic portrayal of the city  Le Monde.frAmphibious assault: Progressive Portland’s protesting frogs take air out of Trump’s arguments  The Sydney Morning Herald‘I’ve definitely had spicier tamales,’ says Portland ICE protest frog that got pepper sprayed by feder",US,Technology,6.8,neutral,https://www.yahoo.com/news/articles/costumed-protesters-portland-defy-description-120000936.html?fr=sycsrp_catchall,,"Costumed protesters in Portland defy description of the city as a 'war zone'  NBC NewsProtest frogs vs. MAGA media influencers: the info war over ICE in Portland and Chicago  CNNPortland activists use humor to counter Trump's apocalyptic portrayal of the city  Le Monde.frAmphibious assault: Progressive Portland’s protesting frogs take air out of Trump’s arguments  The Sydney Morning Herald‘I’ve definitely had spicier tamales,’ says Portland ICE protest frog that got pepper sprayed by feder",,2025-10-11 12:00:00+00:00,yahoo.com,,494,,,1,25
911,‘One-sided deal’: College presidents see Trump offer rife with peril,‘One-sided deal’: College presidents see Trump offer rife with peril  PoliticoIt’s no surprise MIT’s Sally Kornbluth is the first to flatly reject Trump’s deal  The Boston GlobeMIT Rejects Special Funding Offer From Trump Administration  The New York TimesUniversities Must Defend Their Independence by Rejecting Trump’s “Compact”  Cato InstituteMIT is first school to reject Trump administration's agenda in exchange for f,US,Financial Services,7.5,neutral,https://www.yahoo.com/news/articles/mit-resistance-gives-boost-academics-110000805.html?fr=sycsrp_catchall,https://www.yahoo.com/news/articles/mit-resistance-gives-boost-academics-110000805.html?fr=sycsrp_catchall,‘One-sided deal’: College presidents see Trump offer rife with peril  PoliticoIt’s no surprise MIT’s Sally Kornbluth is the first to flatly reject Trump’s deal  The Boston GlobeMIT Rejects Special Funding Offer From Trump Administration  The New York TimesUniversities Must Defend Their Independence by Rejecting Trump’s “Compact”  Cato InstituteMIT is first school to reject Trump administration's agenda in exchange for f,,2025-10-11 11:00:00+00:00,yahoo.com,,489,,https://www.yahoo.com/news/articles/mit-resistance-gives-boost-academics-110000805.html?fr=sycsrp_catchall,1,26
986,Strong potential nor'easter develops as East Coast prepares for stormy conditions - ABC News,"Strong potential Nor'easter develops as East Coast prepares for stormy conditions  ABC News - Breaking News, Latest News and VideosIncoming nor’easter threatens major coastal flooding and damaging winds along East Coast  CNNPowerful Nor'easter slamming Carolinas on path to Northeast threatening ‘major’ coastal flooding, 60 mph wind  FOX WeatherMiserable weekend forecast for much of the United States as storms collide  USA Today‘Nasty’ weekend nor’easter may bring major flooding and wind gusts u",US,Energy,6.8,neutral,https://abcnews.go.com/US/strong-potential-noreaster-develops-east-coast-prepares-stormy/story?id=126425305,https://i.abcnewsfe.com/a/a9300548-3bcd-4df4-8235-f0ef5d8a25ac/nor-easter-approaching_1760178836270_hpMain_16x9.jpg?w=1600,"Strong potential Nor'easter develops as East Coast prepares for stormy conditions  ABC News - Breaking News, Latest News and VideosIncoming nor’easter threatens major coastal flooding and damaging winds along East Coast  CNNPowerful Nor'easter slamming Carolinas on path to Northeast threatening ‘major’ coastal flooding, 60 mph wind  FOX WeatherMiserable weekend forecast for much of the United States as storms collide  USA Today‘Nasty’ weekend nor’easter may bring major flooding and wind gusts u",,2025-10-11 10:58:32+00:00,abcnews.go.com,,492,,https://i.abcnewsfe.com/a/a9300548-3bcd-4df4-8235-f0ef5d8a25ac/nor-easter-approaching_1760178836270_hpMain_16x9.jpg?w=1600,1,27
914,A massive blast at a Tennessee explosives plant obliterated a building and left 18 people missing. Here’s what we know,"A massive blast at a Tennessee explosives plant obliterated a building and left 18 people missing. Here’s what we know  CNNTennessee Plant Where Explosion Took Place Employs Many in the Region  The New York Times19 people missing after blast levels Tennessee explosives facility  BBCDeadly Oct. 10 explosion marks second in nearly 12 years at TN explosives manufacturer  WSMV18 missing in Tennessee explosion. What we know about the cause,",US,Financial Services,6,neutral,https://www.msn.com/en-us/news/us/a-massive-blast-at-a-tennessee-explosives-plant-obliterated-a-building-and-left-18-people-missing-here-s-what-we-know/ar-AA1OgLF7,,"A massive blast at a Tennessee explosives plant obliterated a building and left 18 people missing. Here’s what we know  CNNTennessee Plant Where Explosion Took Place Employs Many in the Region  The New York Times19 people missing after blast levels Tennessee explosives facility  BBCDeadly Oct. 10 explosion marks second in nearly 12 years at TN explosives manufacturer  WSMV18 missing in Tennessee explosion. What we know about the cause,",,2025-10-11 10:26:39+00:00,msn.com,,490,,,1,28
